'Micro SD card',  1
'Hall Effect Sensor',  1
'Ball bearing 608-2RS 8mm x 22mm x 7mm',  1
'Heatfit insert M2.5', 18
'Magnet, 5mm diameter, 1mm high',  1
'BME680 Atmospheric Sensor STEMMA-QT',  1
'PMSA003I Air Particulate Sensor STEMMA-QT',  1
'SparkFun Qwiic HAT',  1
'Raspberry Pi Zero',  1
'Micro USB Panel Jack',  1
'Pin header 2 x 1',  2
'Pin header 20 x 2',  1
'Smooth rod 8mm x 200mm',  1
'Screw M2.5 cap x 15mm',  3
'Screw M2.5 cap x  5mm', 11
'Screw M2.5 cap x  7mm',  4
